name,total electrons,R1,RHF Energy (Hartree),Nuclear energy,MP2 Energy,CCSD Energy,CCSD(T) Energy,CCSDT Energy,CCSDTQ Energy,FCI Energy (Hartree)
H2,2,0.261,-0.402854053,2.027498892,-0.42382168,-0.429058751,-0.429058751,-0.429058783,-0.429058783,-0.429058783
H2,2,0.271,-0.463716581,1.952683435,-0.48481557,-0.490105353,-0.490105353,-0.490105386,-0.490105386,-0.490105386
H2,2,0.281,-0.519216653,1.883192921,-0.54044736,-0.545790503,-0.545790503,-0.545790537,-0.545790537,-0.545790537
H2,2,0.291,-0.569917313,1.818478388,-0.59127991,-0.596677009,-0.596677009,-0.596677045,-0.596677045,-0.596677045
H2,2,0.301,-0.616307744,1.758063824,-0.63780225,-0.643253838,-0.643253838,-0.643253875,-0.643253875,-0.643253875
H2,2,0.311,-0.658815096,1.70153444,-0.68044135,-0.685947934,-0.685947934,-0.685947972,-0.685947972,-0.685947972
H2,2,0.321,-0.697814087,1.648527137,-0.7195718,-0.725133828,-0.725133828,-0.725133867,-0.725133867,-0.725133867
H2,2,0.331,-0.733634851,1.598722692,-0.75552358,-0.761141478,-0.761141478,-0.761141518,-0.761141518,-0.761141519
H2,2,0.341,-0.766569405,1.551839328,-0.7885886,-0.794262745,-0.794262745,-0.794262787,-0.794262787,-0.794262787
H2,2,0.351,-0.79687699,1.507627381,-0.81902598,-0.824756729,-0.824756729,-0.824756772,-0.824756772,-0.824756773
H2,2,0.361,-0.824788538,1.46586485,-0.84706656,-0.852854235,-0.852854235,-0.85285428,-0.85285428,-0.85285428
H2,2,0.371,-0.8505104,1.426353668,-0.8729166,-0.878761575,-0.878761575,-0.878761551,-0.878761551,-0.878761552
H2,2,0.381,-0.874227501,1.388916564,-0.89676096,-0.90266344,-0.90266344,-0.902663417,-0.902663417,-0.902663418
H2,2,0.391,-0.896106008,1.353394401,-0.91876572,-0.924725988,-0.924725988,-0.924725965,-0.924725965,-0.924725966
H2,2,0.401,-0.916295609,1.319643917,-0.93908054,-0.94509884,-0.94509884,-0.945098818,-0.945098818,-0.945098819
H2,2,0.411,-0.934931458,1.287535793,-0.95784051,-0.963917102,-0.963917102,-0.963917082,-0.963917082,-0.963917082
H2,2,0.421,-0.952135863,1.256952995,-0.97516791,-0.981303042,-0.981303042,-0.981303023,-0.981303023,-0.981303023
H2,2,0.431,-0.968019729,1.227789352,-0.99117361,-0.997367542,-0.997367542,-0.997367522,-0.997367522,-0.997367522
H2,2,0.441,-0.982683824,1.199948324,-1.00595836,-1.012211353,-1.012211353,-1.012211333,-1.012211333,-1.012211333
H2,2,0.451,-0.996219877,1.173341931,-1.01961386,-1.025926202,-1.025926202,-1.025926179,-1.025926179,-1.025926179
H2,2,0.461,-1.008711537,1.147889828,-1.03222377,-1.038595741,-1.038595741,-1.038595715,-1.038595715,-1.038595715
H2,2,0.471,-1.020235216,1.123518494,-1.04386449,-1.050296396,-1.050296396,-1.050296367,-1.050296367,-1.050296367
H2,2,0.481,-1.030860831,1.100160522,-1.05460593,-1.061098105,-1.061098105,-1.061098073,-1.061098073,-1.061098073
H2,2,0.491,-1.040652455,1.077753994,-1.06451216,-1.07106497,-1.07106497,-1.071064935,-1.071064935,-1.071064935
H2,2,0.501,-1.049668892,1.056241938,-1.073642,-1.080255832,-1.080255832,-1.080255793,-1.080255793,-1.080255793
H2,2,0.511,-1.057964192,1.035571841,-1.0820495,-1.088724781,-1.088724781,-1.088724738,-1.088724738,-1.088724738
H2,2,0.521,-1.065588098,1.015695222,-1.08978442,-1.096521608,-1.096521608,-1.096521562,-1.096521562,-1.096521562
H2,2,0.531,-1.072586454,0.996567252,-1.09689261,-1.103692209,-1.103692209,-1.103692159,-1.103692159,-1.103692159
H2,2,0.541,-1.079001556,0.978146416,-1.10341639,-1.110278938,-1.110278938,-1.110278885,-1.110278885,-1.110278885
H2,2,0.551,-1.08487248,0.960394212,-1.10939485,-1.116320931,-1.116320931,-1.116320874,-1.116320874,-1.116320874
